grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.241794838Z level=info msg="Executing migration" id="Add index for plugin_id in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.242207646Z level=info msg="Migration successfully executed" id="Add index for plugin_id in dashboard" duration=412.551µs
grafana  | logger=migrator t=2025-01-06T19:38:07.243838797Z level=info msg="Executing migration" id="Add index for dashboard_id in dashboard_tag"
grafana  | logger=migrator t=2025-01-06T19:38:07.24426321Z level=info msg="Migration successfully executed" id="Add index for dashboard_id in dashboard_tag" duration=424.413µs
grafana  | logger=migrator t=2025-01-06T19:38:07.246559951Z level=info msg="Executing migration" id="Update dashboard table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.246589072Z level=info msg="Migration successfully executed" id="Update dashboard table charset" duration=29.333µs
grafana  | logger=migrator t=2025-01-06T19:38:07.248587511Z level=info msg="Executing migration" id="Update dashboard_tag table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.248612441Z level=info msg="Migration successfully executed" id="Update dashboard_tag table charset" duration=23.805µs
grafana  | logger=migrator t=2025-01-06T19:38:07.250894956Z level=info msg="Executing migration" id="Add column folder_id in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.251931533Z level=info msg="Migration successfully executed" id="Add column folder_id in dashboard" duration=1.037857ms
grafana  | logger=migrator t=2025-01-06T19:38:07.25424856Z level=info msg="Executing migration" id="Add column isFolder in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.255311573Z level=info msg="Migration successfully executed" id="Add column isFolder in dashboard" duration=1.062591ms
grafana  | logger=migrator t=2025-01-06T19:38:07.25770039Z level=info msg="Executing migration" id="Add column has_acl in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.25870043Z level=info msg="Migration successfully executed" id="Add column has_acl in dashboard" duration=998.807µs
grafana  | logger=migrator t=2025-01-06T19:38:07.260534586Z level=info msg="Executing migration" id="Add column uid in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.261541251Z level=info msg="Migration successfully executed" id="Add column uid in dashboard" duration=1.006423ms
grafana  | logger=migrator t=2025-01-06T19:38:07.263980535Z level=info msg="Executing migration" id="Update uid column values in dashboard"
grafana  | logger=migrator t=2025-01-06T19:38:07.264131778Z level=info msg="Migration successfully executed" id="Update uid column values in dashboard" duration=151.408µs
grafana  | logger=migrator t=2025-01-06T19:38:07.266260242Z level=info msg="Executing migration" id="Add unique index dashboard_org_id_uid"
grafana  | logger=migrator t=2025-01-06T19:38:07.266765568Z level=info msg="Migration successfully executed" id="Add unique index dashboard_org_id_uid" duration=505.027µs
grafana  | logger=migrator t=2025-01-06T19:38:07.268762596Z level=info msg="Executing migration" id="Remove unique index org_id_slug"
grafana  | logger=migrator t=2025-01-06T19:38:07.269199686Z level=info msg="Migration successfully executed" id="Remove unique index org_id_slug" duration=436.76µs
grafana  | logger=migrator t=2025-01-06T19:38:07.271732282Z level=info msg="Executing migration" id="Update dashboard title length"
grafana  | logger=migrator t=2025-01-06T19:38:07.271762907Z level=info msg="Migration successfully executed" id="Update dashboard title length" duration=31.492µs
grafana  | logger=migrator t=2025-01-06T19:38:07.273964429Z level=info msg="Executing migration" id="Add unique index for dashboard_org_id_title_folder_id"
grafana  | logger=migrator t=2025-01-06T19:38:07.274470875Z level=info msg="Migration successfully executed" id="Add unique index for dashboard_org_id_title_folder_id" duration=506.101µs
grafana  | logger=migrator t=2025-01-06T19:38:07.276368592Z level=info msg="Executing migration" id="create dashboard_provisioning"
grafana  | logger=migrator t=2025-01-06T19:38:07.27682137Z level=info msg="Migration successfully executed" id="create dashboard_provisioning" duration=448.441µs
grafana  | logger=migrator t=2025-01-06T19:38:07.279034302Z level=info msg="Executing migration" id="Rename table dashboard_provisioning to dashboard_provisioning_tmp_qwerty - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.281365227Z level=info msg="Migration successfully executed" id="Rename table dashboard_provisioning to dashboard_provisioning_tmp_qwerty - v1" duration=2.329198ms
grafana  | logger=migrator t=2025-01-06T19:38:07.283444868Z level=info msg="Executing migration" id="create dashboard_provisioning v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.283817676Z level=info msg="Migration successfully executed" id="create dashboard_provisioning v2" duration=373.875µs
grafana  | logger=migrator t=2025-01-06T19:38:07.286144311Z level=info msg="Executing migration" id="create index IDX_dashboard_provisioning_dashboard_id - v2"
grafana  | logger=migrator t=2025-01-06T19:38:07.286548095Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_provisioning_dashboard_id - v2" duration=403.456µs
